Step number,Repeats,Step name,Elapsed Time  (s),DC Working Electrode (V),DC Current (A),Frequency (Hz),|Z| (Ohms),Phase (deg),Z' (Ohms),-Z" (Ohms),THD (%),Amplitude (A),Amplitude (V),No of Cycles,Duration of Each Frequency (s)
2,1,Potentiostatic EIS,5.16183144000001,-0.000243645033333451,-1.34115151695369e-07,1000000,99.9574002162983,2.17277951395328,99.8855349630227,-3.78969169616687,1.52738745116219,9.9694347275064e-05,0.00996520747347485,1430,0.00143
2,1,Potentiostatic EIS,5.34985390000001,-0.000218807777855545,-1.23525761352994e-07,794328.1875,100.161133895749,1.09954601557094,100.142690645394,-1.92204411579498,1.74715579922243,9.98157350032873e-05,0.00999756955707588,1445,0.00181914732819424
2,1,Potentiostatic EIS,5.5440149,-0.000194664916489273,-1.24114063737579e-07,630957.375,99.8473170142931,0.424740719595662,99.8445735017687,-0.740173765168708,1.49179196788618,0.000100032000278311,0.00998793803841685,1355,0.00214753017190741
2,1,Potentiostatic EIS,5.74814817,-0.000197564682457596,-1.07118744097079e-07,501187.25,100.085284861604,-0.336591347829437,100.083557832659,0.587960360219531,1.4657394593693,0.000100268972709756,0.0100356175257974,1385,0.00276343821595621
2,1,Potentiostatic EIS,5.95414255000001,-0.000179140886757523,-1.1030863902306e-07,398107.15625,99.6342628395526,-1.06549771632999,99.6170351918534,1.85273612964631,1.39073277840151,9.98647970651864e-05,0.00994996904876528,1400,0.00351664113046197
2,1,Potentiostatic EIS,6.17054733,-0.000195031485054642,-9.6431307383682e-08,316227.6875,100.164781615698,-1.96926295816624,100.105624844973,3.44199804156027,1.4537394040162,9.95761105306285e-05,0.00997407915582635,1370,0.00433232147011163
2,1,Potentiostatic EIS,6.40836829000001,-0.00019256683299318,-1.02157417813942e-07,251188.59375,100.199436088038,-2.923746231766,100.069006799711,5.1108580962672,1.55385523685929,9.93462766721226e-05,0.0099545522745738,1340,0.00533463713457331
2,1,Potentiostatic EIS,6.67363606,-0.000169905147049576,-1.07618798494968e-07,199526.171875,100.606332859616,-4.05164983778238,100.35489371882,7.10841178775222,1.50327315656597,9.94342983737996e-05,0.010003713189604,1355,0.00679108904494437
2,1,Potentiostatic EIS,6.97561171,-0.000181244930718094,-1.11119183543451e-07,158489.3125,100.458942447672,-5.22768599872234,100.041082232476,9.15319525955985,1.3647297911103,9.91325165248461e-05,0.00995876033331639,1360,0.00858102025018248
2,1,Potentiostatic EIS,7.48594242000001,-0.000186439475510269,-1.61887337526423e-06,125892.5546875,100.589409961583,-6.89468141928919,99.8619965936877,12.0752239209785,1.60624152264944,9.91124747826476e-05,0.0099697114507677,1370,0.0108822956480684
2,1,Potentiostatic EIS,7.88448142000001,-0.000157145282719284,-1.61302984906797e-06,100000.015625,101.220694901867,-8.57807661083539,100.088392247132,15.0977751275193,1.63648472264448,9.83715412855138e-05,0.0099573232127434,1370,0.0136999978593753
2,1,Potentiostatic EIS,8.22963153,-0.000171125552151352,-1.60163579039363e-06,79432.78125,101.886271597509,-11.02572842936,100.005593919637,19.485726181541,1.65450634597097,9.78863667912963e-05,0.009973396861166,1365,0.0171843410053076
2,1,Potentiostatic EIS,8.37157862,-0.000175086280796677,-1.65050007581158e-06,63095.70703125,103.115073462867,-13.7438282568383,100.1626483469,24.4982091465409,1.54654029327854,9.7049941303005e-05,0.0100073932014186,1290,0.0204451310666998
2,1,Potentiostatic EIS,8.51839675,-0.000204533955547959,-1.62390304012661e-06,50118.75,104.552084546862,-17.5239196681545,99.699961346547,31.4810433529634,1.54378054269459,9.55046396400495e-05,0.00998559387535512,1025,0.0204514278588353
2,1,Potentiostatic EIS,8.6644484,-0.000162691494915634,-1.65797134741297e-06,39810.6875,107.870549738681,-21.8351480040613,100.131683196776,40.1210857418605,1.67195203090928,9.27811805126028e-05,0.0100083950772903,815,0.0204718896150688
2,1,Potentiostatic EIS,8.81050541,-0.000162688514683396,-1.59629685185791e-06,31622.779296875,111.905301633414,-26.6749445979772,99.9949730438356,50.237455146813,1.60246592111171,8.91193115152328e-05,0.00997296747765749,645,0.0203966891696879
2,1,Potentiostatic EIS,8.95727976,-0.000149198493454605,-1.65496003319277e-06,25118.88671875,118.820100495433,-32.3182892743974,100.413823757908,63.5238559917491,1.55392201343848,8.3656312664457e-05,0.00994012082226273,510,0.020303447589471
2,1,Potentiostatic EIS,9.10421121,-0.000132327398750931,-1.6816546803966e-06,19952.607421875,128.37030499168,-38.2134955758799,100.861987673651,79.4090337819149,1.5010357235037,7.75280070957134e-05,0.0099523858108411,405,0.0202980989620424
2,1,Potentiostatic EIS,9.25023524,-0.000127658864948899,-1.7351091855744e-06,15848.921875,142.176583378248,-44.6740316178824,101.104356493141,99.9604419719111,1.85841382021235,6.98333863213787e-05,0.00992870834835955,320,0.0201906478260055
2,1,Potentiostatic EIS,9.39723542000001,-0.000130622705910355,-1.64218238296598e-06,12589.24609375,161.985012328608,-51.2333993189419,101.426819403103,126.300215854406,1.93719897087623,6.17922399036218e-05,0.0100094966873615,255,0.0202553828959302
2,1,Potentiostatic EIS,9.52681839,0.000105358150904067,3.56070657403507e-08,9999.9833984375,189.011279548365,-57.2472921680785,102.257789741231,158.961027405299,0.629688395873789,5.04585893242394e-05,0.00953724253237993,307,0.0307000509668815
2,1,Potentiostatic EIS,9.6062717,9.87615057965741e-05,3.2594904553207e-08,7943.2734375,225.46491331003,-62.6055317792035,103.739578015108,200.181235602008,0.0675656858444077,4.33080530452567e-05,0.00976444642547499,244,0.0307178145030337
2,1,Potentiostatic EIS,9.68517402,9.30490641621873e-05,3.78539866119354e-08,6309.57080078125,273.554371370346,-67.0967617434959,106.460799669249,251.98827796072,0.0582272283287661,3.61475981849947e-05,0.00988833349804409,193,0.0305884514325606
