Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	0.106471266933288	-0.155316138900969	0.188306223172482	-55.5688471106434	320.789415190085
2	79138	0.103735643964119	-0.122005013815677	0.160144644696019	-49.6269085400072	322.27643718633
3	62628	0.109946604545696	-0.0952787666337358	0.145486422811112	-40.9119158667817	323.968462182058
4	49563	0.113952245407707	-0.0727211919467288	0.135179458467666	-32.544900268925	325.660489177786
5	39223	0.116665276461545	-0.0550305987943778	0.128992842962377	-25.2530862669548	327.34251417354
6	31040	0.119905968386177	-0.0403591316310687	0.126516009898513	-18.6027105210125	328.924539169545
7	24565	0.12220926431486	-0.0285898755569193	0.125508905137203	-13.1670893714689	330.496561165576
8	19440	0.124798797358939	-0.0190457452101551	0.126243733439912	-8.67705071180927	332.093584161544
9	15384	0.126958734637665	-0.0112068637675475	0.127452399335208	-5.04452104481361	333.685610157525
10	12175	0.12927503762375	-0.00481402250023446	0.12936464032051	-2.13262967731677	335.377635153253
11	9634.9	0.131769273807186	0.000474437900027843	0.131770127915981	0.206293706130619	338.286683145908
12	7624.9	0.134224080913951	0.00490893896819337	0.134313817528161	2.09452865463195	339.793702142103
13	6034.2	0.137419056774691	0.00863879135218036	0.137690326025005	3.59714154395459	341.390727138071
14	4775.3	0.140237310808176	0.011543605007843	0.140711613448521	4.70568114980778	342.970750134082
15	3779.1	0.143035764555437	0.0142250166318117	0.143741368576112	5.67943433978436	344.560773130068
16	2990.7	0.146208115775945	0.0164436858941761	0.147129901531057	6.41695741620085	346.147800126061
17	2366.8	0.149570390382307	0.0184185591772495	0.150700182485893	7.02023590288804	347.714822122104
18	1873	0.152719686323215	0.0202573588541491	0.154057337307923	7.55583710126863	349.291845118123
19	1482.3	0.155921245844203	0.02201549705508	0.157467828511702	8.03682250386253	350.848870114192
20	1173	0.159512627860652	0.023766040989037	0.161273380169523	8.47425135138471	352.430894110198
21	928.32	0.16318308824691	0.0255868965420183	0.165176903846908	8.91134568341174	354.022919106178
22	734.65	0.167051959591424	0.027527619251973	0.169304834617965	9.35737991656342	355.589940102222
23	581.39	0.171081754208838	0.0296409614561719	0.173630507743368	9.82926911872772	357.16696509824
24	460.1	0.175505129691304	0.0318136116549629	0.178365233256076	10.2743758775462	358.768991094195
25	364.11	0.180203424591098	0.0341080227199811	0.183402921046057	10.7178756441224	360.341013090226
26	288.15	0.185780926078395	0.0364381525164759	0.189320604936072	11.0968472659919	361.947039086172
27	228.04	0.191485217091011	0.0387228591565049	0.195361327251957	11.4323911065226	363.569062082076
28	180.46	0.197490907450802	0.0410093792612958	0.20170381184583	11.7308694417649	365.176086078019
29	142.82	0.203734270784342	0.0432286333861076	0.208269939829199	11.9794352773659	366.808111073899
30	113.02	0.210768297492058	0.0452205920466219	0.215564786485983	12.109299920689	368.485136069664
31	89.443	0.217915482310272	0.0472495590921401	0.222979098269143	12.2337961461597	370.142163065481
32	70.783	0.225190030754152	0.0491337795610319	0.230487913446688	12.3083580751078	371.844189061184
33	56.016	0.232833941300964	0.0507996009985136	0.238311232809846	12.307890934042	373.631215056672
34	44.33	0.240082234429507	0.0524485213018715	0.245744433661105	12.323264942142	375.538244051857
35	35.082	0.247251911955853	0.0535906631253453	0.252993017966977	12.2294200347634	377.475272046967
36	27.763	0.254518936047083	0.0553459019276596	0.260466999189389	12.2681481495828	379.257299042467
37	21.971	0.26024566439282	0.0574192367261554	0.266504736508518	12.4421033474408	381.35933203716
38	17.388	0.266648225287967	0.0608810009395261	0.27351009547112	12.8612853899218	383.50636403174
39	13.76	0.27266791620671	0.065758811257604	0.280485318308325	13.5590002169732	385.82339802589
40	10.89	0.279436342870928	0.0725691308451837	0.288705643292098	14.5580210496766	388.280438019686
41	8.6177	0.287723516779235	0.0811497303830087	0.298948324713563	15.7506098767162	390.846474013208
42	6.8199	0.299408579526944	0.0920133226568214	0.313228269861919	17.0830789592473	393.433516006676
43	5.3971	0.314285274507102	0.104276470997601	0.331132626262828	18.355288719787	396.120554999892
44	4.2712	0.333545170012647	0.116261120891203	0.35322659677556	19.216605725305	398.782596993171
45	3.3801	0.357073477537797	0.126756530455853	0.378904587428209	19.5442133658342	401.499637986311
46	2.675	0.384111856429173	0.1338089150184	0.406751452348811	19.2062541658048	404.3556809791
47	2.1169	0.413571538655655	0.135984348181412	0.435354063420027	18.2011183189678	407.277725971723
48	1.6753	0.441921451182713	0.132054321804766	0.461229783213044	16.6371205660926	410.309769964067
49	1.3258	0.468175907945707	0.122419151084125	0.483916448710875	14.6536748784255	413.471818956084
50	1.0492	0.490584571806554	0.110014927907847	0.502768839982341	12.6396244658044	416.708867947911
51	0.83031	0.507892333389169	0.0957662710174545	0.516842143192758	10.678107087148	420.449922938466
52	0.65709	0.522761191259004	0.0812423973980839	0.529036473432145	8.83368032662703	424.196982929006
53	0.52001	0.532817632354807	0.0691440324455991	0.537285330686611	7.3939832138036	428.249042918775
54	0.41152	0.539679583158845	0.0561151257672322	0.542589126151987	5.93620290447768	432.651108907661
55	0.32567	0.545023761343289	0.0447114530424958	0.54685465570109	4.68980257467501	437.563183895259
56	0.25773	0.546276810805909	0.0367053410080635	0.547508571698008	3.84403054092896	443.095268881292
57	0.20396	0.548950351064846	0.0288268965074624	0.549706719893862	3.00599828456608	449.457363865229
58	0.16141	0.551850915091897	0.0246646995897929	0.552401828285913	2.55910298660539	456.823476846632
59	0.12774	0.55206813199952	0.0183994167765716	0.552374656286073	1.90885653238989	465.519605824676
60	0.10109	0.555567542951688	0.017858005395799	0.555854480181722	1.84106537288933	475.876762798527
61	0.08	0.556366578148806	0.0119573379668723	0.556495055874053	1.23120182404017	488.333951767075
