  Freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm
1.00E+05	1.02E-01	-1.50E-01
8.91E+04	1.01E-01	-1.33E-01
7.94E+04	9.98E-02	-1.17E-01
7.08E+04	9.91E-02	-1.02E-01
6.31E+04	9.86E-02	-8.90E-02
5.62E+04	9.85E-02	-7.72E-02
5.01E+04	9.84E-02	-6.64E-02
4.47E+04	9.86E-02	-5.65E-02
3.98E+04	9.88E-02	-4.74E-02
3.55E+04	9.92E-02	-3.90E-02
3.16E+04	1.00E-01	-3.11E-02
2.82E+04	1.01E-01	-2.39E-02
2.51E+04	1.02E-01	-1.73E-02
2.24E+04	1.04E-01	-1.13E-02
2.00E+04	1.05E-01	-5.55E-03
1.78E+04	1.07E-01	-3.41E-04
1.58E+04	1.09E-01	4.50E-03
1.41E+04	1.11E-01	9.13E-03
1.26E+04	1.13E-01	1.35E-02
1.12E+04	1.15E-01	1.77E-02
1.00E+04	1.17E-01	2.18E-02
8.91E+03	1.20E-01	2.57E-02
7.94E+03	1.22E-01	2.95E-02
7.08E+03	1.25E-01	3.32E-02
6.31E+03	1.28E-01	3.69E-02
5.62E+03	1.31E-01	4.06E-02
5.01E+03	1.35E-01	4.42E-02
4.47E+03	1.38E-01	4.78E-02
3.98E+03	1.42E-01	5.15E-02
3.55E+03	1.46E-01	5.51E-02
3.16E+03	1.50E-01	5.87E-02
2.82E+03	1.55E-01	6.24E-02
2.51E+03	1.60E-01	6.60E-02
2.24E+03	1.65E-01	6.96E-02
2.00E+03	1.71E-01	7.32E-02
1.78E+03	1.77E-01	7.68E-02
1.58E+03	1.83E-01	8.03E-02
1.41E+03	1.89E-01	8.37E-02
1.26E+03	1.96E-01	8.70E-02
1.12E+03	2.03E-01	9.02E-02
1.00E+03	2.11E-01	9.31E-02
8.91E+02	2.19E-01	9.59E-02
7.94E+02	2.27E-01	9.84E-02
7.08E+02	2.35E-01	1.01E-01
6.31E+02	2.44E-01	1.03E-01
5.62E+02	2.53E-01	1.05E-01
5.01E+02	2.62E-01	1.06E-01
4.47E+02	2.71E-01	1.07E-01
3.98E+02	2.80E-01	1.08E-01
3.55E+02	2.89E-01	1.08E-01
3.16E+02	2.98E-01	1.08E-01
2.82E+02	3.07E-01	1.08E-01
2.51E+02	3.16E-01	1.07E-01
2.24E+02	3.25E-01	1.06E-01
2.00E+02	3.33E-01	1.05E-01
1.78E+02	3.41E-01	1.04E-01
1.58E+02	3.49E-01	1.03E-01
1.41E+02	3.57E-01	1.02E-01
1.26E+02	3.64E-01	1.00E-01
1.12E+02	3.71E-01	9.97E-02
1.00E+02	3.78E-01	9.86E-02
8.91E+01	3.85E-01	9.78E-02
7.94E+01	3.91E-01	9.71E-02
7.08E+01	3.98E-01	9.67E-02
6.31E+01	4.04E-01	9.65E-02
5.62E+01	4.11E-01	9.63E-02
5.01E+01	4.17E-01	9.63E-02
4.47E+01	4.23E-01	9.65E-02
3.98E+01	4.29E-01	9.67E-02
3.55E+01	4.36E-01	9.73E-02
3.16E+01	4.42E-01	9.80E-02
2.82E+01	4.48E-01	9.89E-02
2.51E+01	4.53E-01	1.00E-01
2.24E+01	4.59E-01	1.02E-01
2.00E+01	4.65E-01	1.04E-01
1.78E+01	4.71E-01	1.06E-01
1.58E+01	4.77E-01	1.10E-01
1.41E+01	4.83E-01	1.14E-01
1.26E+01	4.89E-01	1.18E-01
1.12E+01	4.96E-01	1.24E-01
1.00E+01	5.04E-01	1.30E-01
8.91E+00	5.13E-01	1.36E-01
7.94E+00	5.23E-01	1.43E-01
7.08E+00	5.34E-01	1.50E-01
6.31E+00	5.46E-01	1.57E-01
5.62E+00	5.59E-01	1.64E-01
5.01E+00	5.74E-01	1.71E-01
4.47E+00	5.91E-01	1.77E-01
3.98E+00	6.09E-01	1.81E-01
3.55E+00	6.27E-01	1.85E-01
3.16E+00	6.46E-01	1.87E-01
2.82E+00	6.66E-01	1.86E-01
2.51E+00	6.86E-01	1.84E-01
2.24E+00	7.05E-01	1.80E-01
2.00E+00	7.24E-01	1.75E-01
1.78E+00	7.41E-01	1.68E-01
1.58E+00	7.57E-01	1.60E-01
1.41E+00	7.72E-01	1.51E-01
1.26E+00	7.85E-01	1.41E-01
1.12E+00	7.96E-01	1.31E-01
1.00E+00	8.06E-01	1.21E-01
8.91E-01	8.15E-01	1.11E-01
7.94E-01	8.22E-01	1.02E-01
7.08E-01	8.28E-01	9.24E-02
6.31E-01	8.34E-01	8.40E-02
5.62E-01	8.38E-01	7.62E-02
5.01E-01	8.42E-01	6.90E-02
4.47E-01	8.45E-01	6.21E-02
3.98E-01	8.48E-01	5.53E-02
3.55E-01	8.50E-01	5.02E-02
3.16E-01	8.52E-01	4.53E-02
2.82E-01	8.54E-01	3.97E-02
2.51E-01	8.55E-01	3.54E-02
2.24E-01	8.56E-01	3.18E-02
2.00E-01	8.57E-01	2.95E-02
1.78E-01	8.59E-01	2.67E-02
1.58E-01	8.59E-01	2.26E-02
1.41E-01	8.60E-01	2.15E-02
1.26E-01	8.60E-01	1.80E-02
1.12E-01	8.61E-01	1.63E-02
1.00E-01	8.63E-01	1.64E-02
8.91E-02	8.61E-01	1.22E-02
8.00E-02	8.65E-01	1.06E-02
