sep=,
File.......:   - AUG;23.2025
System.....:  
Potential..:  -1.1425V
Current....:  -12.792uA; Ampl: 50mA
Temperature:  0.2+-1.2C
Time.......:  22:14:46 - 22:20:03
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   72
Columns: 7
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s,Voltage/V,Current/A
1,1.0472e+03,5.7711e-03,-10.33,0.997,0.0,-1.1352,-1.256e-05
2,1.3153e+03,5.6191e-03,-8.49,0.992,1.6,-1.1353,-1.256e-05
3,1.6521e+03,5.4010e-03,-7.19,0.994,2.7,-1.1353,-1.256e-05
4,2.0751e+03,5.3333e-03,-6.01,0.997,3.8,-1.1353,-1.256e-05
5,2.6063e+03,5.2232e-03,-3.84,0.995,4.9,-1.1354,-1.256e-05
6,3.2736e+03,5.0506e-03,-2.10,0.997,6.0,-1.1354,-1.256e-05
7,4.1118e+03,5.0069e-03,0.49,0.993,7.1,-1.1354,-1.256e-05
8,5.1645e+03,4.9280e-03,3.48,0.994,8.2,-1.1354,-1.256e-05
9,6.4867e+03,4.8671e-03,6.31,0.996,9.3,-1.1355,-1.256e-05
10,8.1474e+03,4.8691e-03,11.69,0.995,10.4,-1.1355,-1.256e-05
11,1.0233e+04,4.9158e-03,16.03,0.997,11.6,-1.1355,-1.256e-05
12,1.2853e+04,5.0067e-03,22.36,0.997,12.8,-1.1356,-1.256e-05
13,1.6144e+04,5.2625e-03,28.83,0.988,13.9,-1.1356,-1.256e-05
14,2.0277e+04,5.5732e-03,36.32,0.994,15.1,-1.1356,-1.256e-05
15,2.5469e+04,6.2009e-03,44.12,0.992,16.3,-1.1356,-1.256e-05
16,3.1990e+04,7.1464e-03,50.77,0.985,17.4,-1.1357,-1.256e-05
17,4.0180e+04,8.3349e-03,57.48,0.993,18.4,-1.1357,-1.256e-05
18,5.0467e+04,9.8829e-03,63.91,0.993,19.5,-1.1357,-1.256e-05
19,6.3388e+04,1.1910e-02,69.47,0.996,20.5,-1.1357,-1.256e-05
20,7.9616e+04,1.4792e-02,72.75,0.991,21.6,-1.1358,-1.256e-05
21,1.0000e+05,1.8043e-02,77.07,0.997,22.7,-1.1358,-1.256e-05
22,7.9616e+04,1.4568e-02,73.32,0.995,23.7,-1.1358,-1.256e-05
23,6.3388e+04,1.1743e-02,68.66,0.998,24.7,-1.1359,-1.256e-05
24,5.0467e+04,9.8395e-03,63.79,0.994,25.8,-1.1359,-1.256e-05
25,4.0180e+04,8.3874e-03,57.21,0.994,26.8,-1.1359,-1.256e-05
26,3.1990e+04,7.2493e-03,51.34,0.982,27.9,-1.1359,-1.256e-05
27,2.5469e+04,6.2026e-03,43.82,0.997,29.0,-1.1360,-1.256e-05
28,2.0277e+04,5.5802e-03,35.49,0.986,30.1,-1.1360,-1.256e-05
29,1.6144e+04,5.1863e-03,28.11,0.984,31.3,-1.1361,-1.256e-05
30,1.2853e+04,5.0676e-03,21.85,0.997,32.5,-1.1361,-1.256e-05
31,1.0233e+04,4.9135e-03,16.02,0.996,33.6,-1.1361,-1.256e-05
32,8.1474e+03,4.8257e-03,11.26,0.995,34.8,-1.1361,-1.256e-05
33,6.4867e+03,4.8710e-03,7.15,0.996,35.9,-1.1362,-1.256e-05
34,5.1645e+03,4.9191e-03,3.21,0.995,37.0,-1.1362,-1.256e-05
35,4.1118e+03,4.9947e-03,0.24,0.995,38.1,-1.1362,-1.256e-05
36,3.2736e+03,5.0803e-03,-1.59,0.997,39.2,-1.1363,-1.256e-05
37,2.6063e+03,5.2345e-03,-3.92,0.995,40.3,-1.1363,-1.256e-05
38,2.0751e+03,5.3582e-03,-6.14,0.998,41.4,-1.1363,-1.256e-05
39,1.6521e+03,5.5622e-03,-7.86,0.994,42.5,-1.1364,-1.256e-05
40,1.3153e+03,5.5611e-03,-8.76,0.994,43.5,-1.1364,-1.256e-05
