sep=,
File.......:   - AUG;23.2025
System.....:  
Potential..:  -1.1425V
Current....:  -12.792uA; Ampl: 50mA
Temperature:  0.2+-1.2C
Time.......:  22:14:46 - 22:20:03
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   72
Columns: 7
Number,Frequency/Hz,impedance_R/Ohm,impedance_I/Ohm,Significance,Time/s,Voltage/V,Current/A
1,1.0472e+03,5.6776e-03,-1.0346e-03,0.997,0.0,-1.1352,-1.256e-05
2,1.3153e+03,5.5574e-03,-8.2983e-04,0.992,1.6,-1.1353,-1.256e-05
3,1.6521e+03,5.3585e-03,-6.7634e-04,0.994,2.7,-1.1353,-1.256e-05
4,2.0751e+03,5.3040e-03,-5.5871e-04,0.997,3.8,-1.1353,-1.256e-05
5,2.6063e+03,5.2115e-03,-3.4983e-04,0.995,4.9,-1.1354,-1.256e-05
6,3.2736e+03,5.0472e-03,-1.8550e-04,0.997,6.0,-1.1354,-1.256e-05
7,4.1118e+03,5.0067e-03,4.2790e-05,0.993,7.1,-1.1354,-1.256e-05
8,5.1645e+03,4.9189e-03,2.9942e-04,0.994,8.2,-1.1354,-1.256e-05
9,6.4867e+03,4.8376e-03,5.3509e-04,0.996,9.3,-1.1355,-1.256e-05
10,8.1474e+03,4.7682e-03,9.8652e-04,0.995,10.4,-1.1355,-1.256e-05
11,1.0233e+04,4.7245e-03,1.3578e-03,0.997,11.6,-1.1355,-1.256e-05
12,1.2853e+04,4.6303e-03,1.9044e-03,0.997,12.8,-1.1356,-1.256e-05
13,1.6144e+04,4.6100e-03,2.5380e-03,0.988,13.9,-1.1356,-1.256e-05
14,2.0277e+04,4.4906e-03,3.3007e-03,0.994,15.1,-1.1356,-1.256e-05
15,2.5469e+04,4.4515e-03,4.3168e-03,0.992,16.3,-1.1356,-1.256e-05
16,3.1990e+04,4.5196e-03,5.5358e-03,0.985,17.4,-1.1357,-1.256e-05
17,4.0180e+04,4.4805e-03,7.0282e-03,0.993,18.4,-1.1357,-1.256e-05
18,5.0467e+04,4.3468e-03,8.8756e-03,0.993,19.5,-1.1357,-1.256e-05
19,6.3388e+04,4.1760e-03,1.1154e-02,0.996,20.5,-1.1357,-1.256e-05
20,7.9616e+04,4.3869e-03,1.4126e-02,0.991,21.6,-1.1358,-1.256e-05
21,1.0000e+05,4.0371e-03,1.7586e-02,0.997,22.7,-1.1358,-1.256e-05
22,7.9616e+04,4.1819e-03,1.3955e-02,0.995,23.7,-1.1358,-1.256e-05
23,6.3388e+04,4.2732e-03,1.0938e-02,0.998,24.7,-1.1359,-1.256e-05
24,5.0467e+04,4.3459e-03,8.8277e-03,0.994,25.8,-1.1359,-1.256e-05
25,4.0180e+04,4.5424e-03,7.0508e-03,0.994,26.8,-1.1359,-1.256e-05
26,3.1990e+04,4.5287e-03,5.6607e-03,0.982,27.9,-1.1359,-1.256e-05
27,2.5469e+04,4.4757e-03,4.2943e-03,0.997,29.0,-1.1360,-1.256e-05
28,2.0277e+04,4.5433e-03,3.2399e-03,0.986,30.1,-1.1360,-1.256e-05
29,1.6144e+04,4.5747e-03,2.4434e-03,0.984,31.3,-1.1361,-1.256e-05
30,1.2853e+04,4.7036e-03,1.8860e-03,0.997,32.5,-1.1361,-1.256e-05
31,1.0233e+04,4.7227e-03,1.3561e-03,0.996,33.6,-1.1361,-1.256e-05
32,8.1474e+03,4.7328e-03,9.4256e-04,0.995,34.8,-1.1361,-1.256e-05
33,6.4867e+03,4.8331e-03,6.0656e-04,0.996,35.9,-1.1362,-1.256e-05
34,5.1645e+03,4.9114e-03,2.7533e-04,0.995,37.0,-1.1362,-1.256e-05
35,4.1118e+03,4.9947e-03,2.1073e-05,0.995,38.1,-1.1362,-1.256e-05
36,3.2736e+03,5.0783e-03,-1.4062e-04,0.997,39.2,-1.1363,-1.256e-05
37,2.6063e+03,5.2222e-03,-3.5767e-04,0.995,40.3,-1.1363,-1.256e-05
38,2.0751e+03,5.3275e-03,-5.7306e-04,0.998,41.4,-1.1363,-1.256e-05
39,1.6521e+03,5.5099e-03,-7.6057e-04,0.994,42.5,-1.1364,-1.256e-05
40,1.3153e+03,5.4962e-03,-8.4733e-04,0.994,43.5,-1.1364,-1.256e-05
41,1.0472e+03,5.7049e-03,-9.8712e-04,0.996,44.6,-1.1364,-1.256e-05
42,8.3376e+02,5.8647e-03,-1.1590e-03,0.997,45.6,-1.1364,-1.256e-05
43,6.6381e+02,5.9285e-03,-1.2816e-03,0.995,46.6,-1.1364,-1.256e-05
44,5.2850e+02,6.1931e-03,-1.5928e-03,0.995,47.7,-1.1365,-1.256e-05
45,4.2077e+02,6.3068e-03,-1.7842e-03,0.986,49.6,-1.1366,-1.256e-05
46,3.3500e+02,6.6050e-03,-2.0423e-03,0.998,51.9,-1.1366,-1.256e-05
47,2.6672e+02,6.7996e-03,-2.3624e-03,0.996,53.7,-1.1366,-1.256e-05
48,2.1235e+02,7.1266e-03,-2.6372e-03,0.987,55.6,-1.1367,-1.256e-05
49,1.6907e+02,7.4632e-03,-2.8512e-03,0.995,57.4,-1.1367,-1.256e-05
50,1.3460e+02,8.1893e-03,-3.2922e-03,0.997,59.3,-1.1368,-1.256e-05
51,1.0717e+02,8.7234e-03,-3.4393e-03,0.997,61.1,-1.1368,-1.256e-05
52,8.5322e+01,9.3456e-03,-3.7428e-03,0.999,63.1,-1.1369,-1.256e-05
53,6.7930e+01,9.9516e-03,-3.9902e-03,0.998,65.1,-1.1369,-1.256e-05
54,5.3910e+01,1.0738e-02,-4.0662e-03,0.998,67.2,-1.1370,-1.256e-05
55,4.2416e+01,1.1396e-02,-4.1284e-03,0.998,69.3,-1.1370,-1.256e-05
56,3.3064e+01,1.2183e-02,-4.0699e-03,0.993,71.6,-1.1371,-1.256e-05
57,2.5518e+01,1.2879e-02,-4.0201e-03,0.996,74.0,-1.1371,-1.256e-05
58,1.9484e+01,1.3476e-02,-3.9738e-03,0.996,76.6,-1.1369,-1.256e-05
59,1.4705e+01,1.4028e-02,-3.8747e-03,0.998,79.4,-1.1374,-1.256e-05
60,1.0960e+01,1.4580e-02,-3.9292e-03,0.999,82.5,-1.1374,-1.256e-05
61,8.0607e+00,1.5033e-02,-4.1932e-03,0.999,86.1,-1.1374,-1.256e-05
62,5.8439e+00,1.5547e-02,-4.6431e-03,0.999,90.2,-1.1373,-1.256e-05
63,4.1726e+00,1.6137e-02,-5.4963e-03,0.999,95.0,-1.1378,-1.256e-05
64,2.9318e+00,1.6936e-02,-6.7815e-03,1.000,100.8,-1.1381,-1.256e-05
65,2.0259e+00,1.8231e-02,-8.8135e-03,0.999,107.9,-1.1377,-1.256e-05
66,1.3761e+00,2.0352e-02,-1.1428e-02,0.999,119.1,-1.1387,-1.256e-05
67,9.1901e-01,2.4199e-02,-1.4477e-02,0.999,132.7,-1.1392,-1.256e-05
68,6.0383e-01,2.9924e-02,-1.6656e-02,0.999,149.7,-1.1396,-1.256e-05
69,3.9094e-01,3.6446e-02,-1.7094e-02,0.999,172.0,-1.1405,-1.256e-05
70,2.5002e-01,4.2312e-02,-1.6032e-02,0.998,201.2,-1.1410,-1.256e-05
71,1.5849e-01,4.7130e-02,-1.4924e-02,0.997,241.6,-1.1416,-1.256e-05
72,1.0000e-01,5.1632e-02,-1.4580e-02,0.997,295.5,-1.1430,-1.256e-05
