frequency (Hz)	impedance (Ω)	phase / rad (rad)	phase / deg (°)	impedance' (Ω)	impedance'' (Ω)	time (s)	significance	Voltage (V)	Current (A)
100000	0.0109018	0.311438	17.8441	0.0103773	0.0033406	0	0.949	-1.15653	0.981921
79616	0.0085919	0.386214	22.1284	0.00795903	0.00323643	2.6905	0.857	-1.15942	0.981921
63388	0.00697025	0.422598	24.2131	0.00635705	0.00285872	4.579	0.85	-1.15938	0.981921
50467	0.00583588	0.414993	23.7773	0.00534053	0.00235293	6.5155	0.846	-1.15933	0.981921
40180	0.00507102	0.387301	22.1907	0.00469542	0.00191528	8.371	0.866	-1.15934	0.981921
31990	0.00454595	0.333967	19.1349	0.00429478	0.00149013	10.2585	0.903	-1.15932	0.981921
25469	0.00421792	0.26844	15.3805	0.00406686	0.00111871	12.133	0.935	-1.15931	0.981921
20277	0.0040024	0.206327	11.8217	0.00391751	0.000819955	13.991	0.958	-1.15931	0.981921
16144	0.00393203	0.13577	7.77902	0.00389585	0.000532212	15.879	0.97	-1.15933	0.981921
12853	0.00386678	0.0676207	3.87438	0.00385794	0.000261275	17.7535	0.977	-1.15927	0.981921
10233	0.00388699	0.0230126	1.31852	0.00388596	8.94417e-05	19.611	0.984	-1.159	0.981921
8147.4	0.00390447	-0.0258075	-1.47866	0.00390317	-0.000100753	21.4985	0.987	-1.1593	0.981921
6486.7	0.00396501	-0.0659959	-3.78129	0.00395638	-0.000261484	23.372	0.991	-1.15927	0.981921
5164.5	0.00406157	-0.0984711	-5.64198	0.0040419	-0.000399301	25.228	0.993	-1.15927	0.981921
4111.8	0.00417738	-0.126441	-7.24454	0.00414403	-0.000526787	27.1145	0.994	-1.15929	0.981921
3273.6	0.00429766	-0.150195	-8.60555	0.00424928	-0.000643064	28.9865	0.994	-1.15929	0.981921
2606.3	0.00440522	-0.173308	-9.9298	0.00433922	-0.000759641	30.8415	0.996	-1.1593	0.981921
2075.1	0.00457402	-0.19508	-11.1773	0.00448726	-0.000886651	32.726	0.996	-1.15925	0.981921
1652.1	0.00469945	-0.212728	-12.1884	0.00459352	-0.000992184	34.597	0.994	-1.15924	0.981921
1315.3	0.00489635	-0.230469	-13.2049	0.00476689	-0.00111849	36.451	0.995	-1.15925	0.981921
1047.2	0.00505982	-0.242466	-13.8923	0.00491182	-0.00121485	38.3345	0.997	-1.15922	0.981921
833.76	0.00521648	-0.258517	-14.8119	0.00504314	-0.00133358	40.2045	0.997	-1.15924	0.981921
663.81	0.00535608	-0.268667	-15.3935	0.00516393	-0.00142175	42.0575	0.998	-1.15924	0.981921
528.5	0.00561975	-0.293942	-16.8417	0.00537871	-0.0016282	43.939	0.997	-1.15925	0.981921
